alr_comp1,alr_comp2,coord_x,coord_y,profund_inf,profund_sup,relevo_elevacao,prop1_areia,prop2_argila,prop3_silte,marker
1.1260112628562242,1.4469189829363254,-46.9166666666667,-19.6666666666667,70,20,1120,0.37,0.51,0.12,dados_unique_v2 - 93 rows
1.0033021088637848,-0.20067069546215124,-46.9003313205324,-19.483645212943,140,30,850,0.6,0.18,0.22,dados_unique_v2 - 93 rows
-0.27029032973991185,-0.14107859825990549,-46.9,-18.9833333333333,70,30,931,0.29,0.33,0.38,dados_unique_v2 - 93 rows
-0.21130909366720677,1.0826119473216687,-49.3166666666667,-19.8,70,40,1170,0.17,0.62,0.21,dados_unique_v2 - 93 rows
0,2.209494669928034,-46.6833333333333,-18.5,60,25,1030,0.09,0.82,0.09,dados_unique_v2 - 93 rows
2.3581549441488563,0.998528830111127,-45.8836184954784,-18.5836321114547,60,10,750,0.74,0.19,0.07,dados_unique_v2 - 93 rows
1.9061698204057993,0.31015492830383945,-46.0833333333333,-18.6166666666667,55,28,850,0.74,0.15,0.11,dados_unique_v2 - 93 rows
-1.845826690498331,0.38776553100876354,-46.05,-18.6833333333333,50,24,770,0.06,0.56,0.38,dados_unique_v2 - 93 rows
-1.540445040947149,0.15415067982725836,-46.1666666666667,-19.7833333333333,70,25,970,0.09,0.49,0.42,dados_unique_v2 - 93 rows
-0.8266785731844678,1.5712166996139025,-46.6,-18.6666666666667,60,25,870,0.07,0.77,0.16,dados_unique_v2 - 93 rows
0.27193371548364176,1.3705460041517514,-46.6,-19.55,40,20,950,0.21,0.63,0.16,dados_unique_v2 - 93 rows
0.998528830111127,1.232143681292632,-46.2666666666667,-18.6833333333333,100,40,980,0.38,0.48,0.14,dados_unique_v2 - 93 rows
-0.8472978603872036,0.3566749439387324,-47.3666666666667,-18.6,100,60,900,0.15,0.5,0.35,dados_unique_v2 - 93 rows
0.6931471805599453,1.5459245067117744,-46.55,-19.5666666666667,40,20,940,0.26,0.61,0.13,dados_unique_v2 - 93 rows
-0.950976289862045,-0.12062798778861475,-46.1666666666667,-18.8833333333333,40,15,960,0.17,0.39,0.44,dados_unique_v2 - 93 rows
-1.2039728043259361,2.163323025660538,-46.6166666666667,-18.9166666666667,100,60,850,0.03,0.87,0.1,dados_unique_v2 - 93 rows
-0.1335313926245225,2.3632097148104805,-46.6,-19.1333333333333,60,20,1208,0.07,0.85,0.08,dados_unique_v2 - 93 rows
-0.31845373111853476,0.26469255422708216,-46.25,-18.9333333333333,50,20,1060,0.24,0.43,0.33,dados_unique_v2 - 93 rows
0.26826398659467937,1.6835458845878222,-46.1666666666667,-18.9833333333333,70,30,1040,0.17,0.7,0.13,dados_unique_v2 - 93 rows
-0.49247648509779407,0.15415067982725836,-45.9166666666667,-19.2,40,20,1025,0.22,0.42,0.36,dados_unique_v2 - 93 rows
-2.5902671654458267,0.35417181372061374,-46.0333333333333,-19.4833333333333,40,20,1000,0.03,0.57,0.4,dados_unique_v2 - 93 rows
1.0761394328160512,1.0055218656020977,-45.45,-17.8666666666667,20,10,800,0.44,0.41,0.15,dados_unique_v2 - 93 rows
4.430816798843313,2.70805020110221,-45.6,-18,40,15,700,0.84,0.15,0.01,dados_unique_v2 - 93 rows
-0.8602012652231115,0.8850381883700505,-46.5,-18.6,100,60,820,0.11,0.63,0.26,dados_unique_v2 - 93 rows
-1.1526795099383855,1.3730491343698699,-46.3666666666667,-19.2,40,20,850,0.06,0.75,0.19,dados_unique_v2 - 93 rows
1.3862943611198906,1.4087672169719492,-46.85,-19.3833333333333,40,20,900,0.44,0.45,0.11,dados_unique_v2 - 93 rows
-0.40546510810816444,2.245426679154097,-46.2833333333333,-18.6,40,15,960,0.06,0.85,0.09,dados_unique_v2 - 93 rows
0.06899287148695142,1.6236225474260566,-46.85,-19.2166666666667,50,20,850,0.15,0.71,0.14,dados_unique_v2 - 93 rows
-1.7346010553881064,1.5488132906176655,-46.05,-18.6333333333333,35,20,800,0.03,0.8,0.17,dados_unique_v2 - 93 rows
-0.78845736036427,-0.20067069546215124,-45.45,-18.2333333333333,60,20,730,0.2,0.36,0.44,dados_unique_v2 - 93 rows
-0.3610133455373305,0.28768207245178085,-47.7670343517641,-18.7669651531875,75,30,900,0.23,0.44,0.33,dados_unique_v2 - 93 rows
0,-0.060624621816434854,-47.95,-18.6,60,25,850,0.34,0.32,0.34,dados_unique_v2 - 93 rows
-0.9760099665757772,-2.6246685921631587,-47.2166666666667,-19.6166666666667,20,5,1050,0.26,0.05,0.69,dados_unique_v2 - 93 rows
0.44628710262841953,1.3049487216659381,-46.9833333333333,-19.5666666666667,80,60,940,0.25,0.59,0.16,dados_unique_v2 - 93 rows
-1.3862943611198906,2.4203681286504293,-47.3166666666667,-19.6333333333333,90,70,1150,0.02,0.9,0.08,dados_unique_v2 - 93 rows
0.20067069546215124,2.184802057337662,-47.5166666666667,-19.65,80,60,1030,0.11,0.8,0.09,dados_unique_v2 - 93 rows
-0.6931471805599453,2.1400661634962708,-47.3,-19.85,80,60,1150,0.05,0.85,0.1,dados_unique_v2 - 93 rows
-0.6505875661411494,1.0388930539664876,-47.4333333333333,-19.85,80,60,980,0.12,0.65,0.23,dados_unique_v2 - 93 rows
-0.6190392084062235,1.8044984950054848,-46.6166666666667,-18.8,36,17,780,0.0707070707070707,0.797979797979798,0.13131313131313133,dados_unique_v2 - 93 rows
0.7146533857809088,0.2657031657330055,-47.75,-18.7666666666667,70,50,890,0.47,0.3,0.23,dados_unique_v2 - 93 rows
0.6359887667199968,2.1068405158679506,-47.6833333333333,-18.9166666666667,90,70,960,0.17,0.74,0.09,dados_unique_v2 - 93 rows
-0.9162907318741551,2.151762203259462,-47.45,-19.3666666666667,80,60,1020,0.04,0.86,0.1,dados_unique_v2 - 93 rows
0.8266785731844679,1.349926716949016,-47.0003358414529,-19.5503127998517,27,10,820,0.32,0.54,0.14,dados_unique_v2 - 93 rows
-0.28768207245178107,0.5996211225491218,-47.7833333333333,-18.5666666666667,70,50,650,0.21,0.51,0.28,dados_unique_v2 - 93 rows
0.6190392084062234,2.436116485618568,-47.5,-19.6666666666667,24,10,1000,0.13,0.8,0.07,dados_unique_v2 - 93 rows
-0.4054651081081643,1.8971199848858813,-47.1333333333333,-18.3166666666667,60,40,750,0.08,0.8,0.12,dados_unique_v2 - 93 rows
0.1112256351102244,-0.19415601444095737,-47.45,-18.6666666666667,40,30,800,0.38,0.28,0.34,dados_unique_v2 - 93 rows
3.0204248861443626,1.252762968495368,-45.9166666666667,-17.9666666666667,120,100,880,0.82,0.14,0.04,dados_unique_v2 - 93 rows
-0.4519851237430571,2.0088239744658827,-47.3833333333333,-19.4833333333333,40,20,1050,0.07,0.82,0.11,dados_unique_v2 - 93 rows
0.4554755286828257,0.23841102344499815,-46.95,-19.3,30,10,900,0.41,0.33,0.26,dados_unique_v2 - 93 rows
0.3184537311185346,1.3545456628053103,-46.85,-19.1833333333333,50,30,850,0.22,0.62,0.16,dados_unique_v2 - 93 rows
-0.3794896217049037,1.2750687260096663,-47.5833333333333,-19.6833333333333,50,30,850,0.13,0.68,0.19,dados_unique_v2 - 93 rows
0.879249460193806,0.127833371509885,-47.7333333333333,-18.7166666666667,60,25,750,0.53,0.25,0.22,dados_unique_v2 - 93 rows
0.12136085700426734,0.09237332013101526,-46.8666666666667,-18.85,60,40,1000,0.35,0.34,0.31,dados_unique_v2 - 93 rows
0,2.0794415416798357,-46.2666666666667,-19.45,120,100,1070,0.1,0.8,0.1,dados_unique_v2 - 93 rows
-0.5108256237659907,2.128231705849268,-46.3,-19.4333333333333,40,20,1120,0.06,0.84,0.1,dados_unique_v2 - 93 rows
-0.5596157879354228,2.5427262206768266,-47.1,-18.4,100,60,870,0.04,0.89,0.07,dados_unique_v2 - 93 rows
-0.5108256237659907,2.128231705849268,-46.1333333333333,-19.25,90,70,1130,0.06,0.84,0.1,dados_unique_v2 - 93 rows
2.1102132003465894,2.7568403652716422,-45.4166666666667,-17.9333333333333,90,60,900,0.33,0.63,0.04,dados_unique_v2 - 93 rows
1.916922612182061,2.501435951739211,-45.45,-17.8833333333333,90,60,900,0.34,0.61,0.05,dados_unique_v2 - 93 rows
-0.1541506798272585,2.5199979695992702,-47.2833333333333,-19.7166666666667,100,70,1140,0.06,0.87,0.07,dados_unique_v2 - 93 rows
-0.1335313926245225,2.3632097148104805,-46.0166666666667,-19.25,27,10,1080,0.07,0.85,0.08,dados_unique_v2 - 93 rows
-2.5902671654458267,0.35417181372061374,-47.4666666666667,-18.6833333333333,40,20,810,0.03,0.57,0.4,dados_unique_v2 - 93 rows
0.1267517056391438,-0.5663954749208014,-47.4333333333333,-18.5666666666667,67,15,870,0.42,0.21,0.37,dados_unique_v2 - 93 rows
-0.05264373348542203,-0.48550781578170094,-45.2876112566935,-18.1875103459276,20,10,660,0.37,0.24,0.39,dados_unique_v2 - 93 rows
0.45953232937844024,1.749199854809259,-47.0666666666667,-20.1666666666667,40,20,1120,0.19,0.69,0.12,dados_unique_v2 - 93 rows
0.7503055943998937,1.0169342576538423,-47.6833333333333,-19.1,50,20,920,0.36,0.47,0.17,dados_unique_v2 - 93 rows
0.26236426446749106,2.0412203288596382,-47.2833333333333,-18.2333333333333,60,20,860,0.13,0.77,0.1,dados_unique_v2 - 93 rows
-0.44183275227903934,1.7047480922384253,-46.15,-19.4,90,70,1190,0.09,0.77,0.14,dados_unique_v2 - 93 rows
2.1972245773362196,0.9162907318741551,-46,-18.4,60,35,880,0.72,0.2,0.08,dados_unique_v2 - 93 rows
0.22314355131420976,2.327277705584417,-47.1666666666667,-20.7666666666667,100,70,1045,0.1,0.82,0.08,dados_unique_v2 - 93 rows
-0.3364722366212129,2.531426665422893,-47.5166666666667,-19.1833333333333,100,60,1020,0.05,0.88,0.07,dados_unique_v2 - 93 rows
1.9661128563728327,1.815289966638249,-45.9833333333333,-18.4,90,60,880,0.5,0.43,0.07,dados_unique_v2 - 93 rows
0,2.209494669928034,-47.5833333333333,-19.0166666666667,25,10,1010,0.09,0.82,0.09,dados_unique_v2 - 93 rows
-0.3184537311185346,1.9965538818740682,-47.6,-18.9666666666667,35,15,1000,0.08,0.81,0.11,dados_unique_v2 - 93 rows
1.2909841813155658,1.493925025312256,-45.9833333333333,-19.2333333333333,90,60,1090,0.4,0.49,0.11,dados_unique_v2 - 93 rows
0.22314355131420976,1.3862943611198906,-47.933708833294,-19.0169688840692,70,35,880,0.2,0.64,0.16,dados_unique_v2 - 93 rows
0.6931471805599453,2.423537703411708,-47.8333333333333,-19.0333333333333,35,18,900,0.14,0.79,0.07,dados_unique_v2 - 93 rows
0.3364722366212129,1.4508328822574619,-45.9166666666667,-19.3,80,50,1000,0.21,0.64,0.15,dados_unique_v2 - 93 rows
-1.252762968495368,2.5649493574615367,-46.9166666666667,-18.7166666666667,100,80,1130,0.02,0.91,0.07,dados_unique_v2 - 93 rows
0.4054651081081644,0.7156200364120039,-47.3333333333333,-19.0333333333333,60,30,870,0.33,0.45,0.22,dados_unique_v2 - 93 rows
-0.2876820724517809,2.3749057545736716,-46.2333333333333,-19.0833333333333,90,60,1070,0.06,0.86,0.08,dados_unique_v2 - 93 rows
0.6286086594223741,1.2163953243244932,-46.9666666666667,-18.6333333333333,48,25,830,0.3,0.54,0.16,dados_unique_v2 - 93 rows
0.31845373111853476,0.5831462853456169,-47.25,-18.8666666666667,70,25,900,0.33,0.43,0.24,dados_unique_v2 - 93 rows
0.5705448584676129,1.5939337258981352,-46.45,-19.4166666666667,43,23,935,0.23,0.64,0.13,dados_unique_v2 - 93 rows
0.20067069546215124,2.184802057337662,-48.9666666666667,-19.1166666666667,90,60,1090,0.11,0.8,0.09,dados_unique_v2 - 93 rows
-0.09531017980432477,1.971552579668651,-46.4,-19.7,40,20,1230,0.1,0.79,0.11,dados_unique_v2 - 93 rows
-1.6739764335716716,0.661398482245365,-47.1333333333333,-18.3666666666667,50,20,900,0.06,0.62,0.32,dados_unique_v2 - 93 rows
0.2318016140573242,0.7357067949787413,-47.8337045094479,-19.0336360244422,44,25,900,0.29,0.48,0.23,dados_unique_v2 - 93 rows
0.9718605830289658,1.2527629684953678,-46.4059890698639,-19.8226970847984,40,20,1110,0.37,0.49,0.14,dados_unique_v2 - 93 rows
0.6131044728864088,1.5781853689299958,-46.6166666666667,-19.5666666666667,45,20,983,0.24,0.63,0.13,dados_unique_v2 - 93 rows
0.24116205681688824,1.91959284073794,-47.5833333333333,-19.6666666666667,80,20,1035,0.14,0.75,0.11,dados_unique_v2 - 93 rows
-0.48550781578170077,1.8044984950054848,-46.1333333333333,-19.6,100,70,1180,0.08,0.79,0.13,dados_unique_v2 - 93 rows
